6,
,
Achtung: das Codebuch wird immer als eigene Datei in Github gesetzt. Beispiel siehe hier.,
Wert,Kommentar
,
edgelist,
from,"definiert den Sender in gerichteten Netzwerken. Entspricht ID in der Nodelist. Keine Sonderzeichen, nur ein Wort"
to ,"definiert den Empfänger in ungerichteten Netzwerken. Entspricht ID in der Nodelist. Keine Sonderzeichen, etc. "
relation,definiert die Art der Beziehung bei multiplexen Netzwerken mit verschiedenen Beziehungsarten
1,Familienangehörige
2,"Arbeitsbeziehung (z. B. Kollegen, berufliche Interaktionen)"
3,Mitglied (z. B. Mitglied einer Organisation oder Partei)
4,Geldgeber/Investor/Sponsor (z. B. finanzielle Unterstützung oder Sponsoring)
5,Sonstiger Kontakt
6,Ehemalige (Arbeits-)beziehung
7,"Geschäftsbeziehung (Bank, Geldflüsse, etc.)"
8,Teilnahme (bei Veranstaltungen)
9,"Ehemaliges Mitglied (z. B. jemand, der nicht mehr aktiv Mitglied einer Organisation ist)"
,
,
nodelist,Grundregel: die IDs der Nodelist müssen mit den IDs der Edgelist komplett übereinstimmen. Ausprägungen der Attribute in der Regel numerisch definieren.
id,"eindeutige Identifikation jedes einzelnen Knotens (vertex), der erfasst wird.  "
Name,Name oder Bezeichnung des Knotens. 
Rolle,Funktion des Akteurs innerhalb des Parteivorstands oder der Organisation
Geschlecht,Geschlecht des Akteurs
1,weiblich
2,männlich
3,Neutral
Region,"Regionale Zugehörigkeit des Akteurs (z. B. Bund, Bundesland, Stadt, Land, wenn bekannt)"
Funktion,"Typ der Institution oder Organisation, in der der Akteur tätig ist"
1,"Institution (z. B. staatliche Einrichtungen, Universitäten)"
2,Organisation (z. B. Vereine)
3,Partei (z. B. politische Partei)
4,"Wirtschaftliches Unternehmen (z. B. Unternehmen, Firmen)"
5,"NGO (Nichtregierungsorganisation, z. B. Umweltschutzgruppen, Hilfsorganisationen)"
6,Politischer Akteur
7,Sonstiges
Type,
1,Person
2,Institution
NA,"definiert fehlende Werte, bei der Datenerhebung das Feld einfach leer lassen, R rechnet NAs (missing values) automatisch raus.."
ehemalige Partei,
0,keine
1,Die Linke
2,SPD
3,AFD
4,CDU
5,Grüne
,
"Achten Sie bitte auf die Kommentare in den Spalten. Diese erklären genauer, welche Daten erfasst werden. ",
"Sie sehen die Kommentare, wenn Sie auf die entsprechende Spalte gehen. ",
"Skizzieren Sie zunächst Ihr Netzwerk bzw. die Daten, die für Sie relevant sind. ",
Welche Informationen wollen Sie erheben? Wie müssen diese erfasst sein?,
"Legen Sie bitte im Codebuch möglichst genau fest, wie die Daten erhoben werden (Codebuch)",
"Bitte verwenden Sie keine Sonderzeichen in der Erfassung, dazu gehören Satzzeichen, Umlaute, etc.",
"Verpflichten Sie alle Teammitglieder darauf, das Codebuch zwingend einzuhalten. ",
Wer seine Daten nicht sauber erstellt muss diese nachbereinigen.,
"Dokumentieren Sie jeden Schritt Ihrer Datenerfassung mit, um dies zu rekonstruieren.",
Nutzen Sie das Skript zur Datenbereinigung auf dem letzten Reiter!,
"Beispiel für die Dokumentation von Codebuch, Edge- und Nodelist",
https://github.com/hdm-crpr/226305/tree/master/data/crpr2,
Vergeben Sie stets eindeutige Spaltenbeschriftungen. Am besten immer nur ein Begriff ohne Sonderzeichen etc.,
