ID,Name,Rolle,Geschlecht,Region,Funktion,Ehemalige Partei,Type,
AD,Alexander Dugin,Russischer Nationalist,2,Russland,6,0,1,
AFA,Agentur f:aun,Agentur,3,NA,4,0,2,
AFD,Alternative für Deutschland,Partei,3,Bund,3,0,2,
AG,Arno Gujon,"Direktor für Diaspora im serbischen Außenministerium, für Diaspora der Serben weltweit tätig ",2,Serbien,6,0,1,
AGA,Amelie Gabriel,Gründungsmitglied BSW,1,NA,6,1,1,
AH,Andrej Hunko,Mitglied des Bundestags ,2,Bund,6,1,1,
AI,Alter Iseri,Landesvorsitzender BSW Bremen,2,Bremen,6,2,1,
AL,Andreja Lovic,"Ehemaliger Mitarbeiter für die BSW-Bundestagsabgeordnete Zaklin Nastic, Vorstand ZHS",2,NA,6,0,1,
AAD,Ali Al-Dailami,Gründungsmitglied BSW,2,Bund,6,1,1,
AM,Amira Mohamed Ali,Parteivorsitzende,1,Bund,3,1,1,
Antifa,Bund der Antifaschistinnen und Antifaschisten (VVN/BdA),Verband,3,NA,2,0,2,
AP,Apolut,Nachfolge-Portal des 2021 eingestellten verschwörungsideologischen Internet-Radiosenders „KenFM“ des antisemitischen Verschwörungsideologen Ken Jebsen,3,Berlin,4,0,2,
AR,Amid Rabieh,Stellv Parteivorsitzender,2,Bund,3,1,1,
ARL,Alexander Relea-Linder,Erweiteter Landesvorstand,2,BaWü,6,1,1,
AU,Alexander Ulrich,"Beisitzer, Mitglied des Bundestages und Landesvorsitzender",2,Bund & Rheinland-Pfalz,6,"1,2",1,
AUS,Australien,anonyme Spende,3,Australien,7,0,2,
AV,Aleksandar Vulin,"Stellvertretender Ministerpräsident Serbien, ehemaliger Direktor des serbischen Nachrichtendienstes",2,Serbien,6,0,1,
BDG,Bündnis die Grünen,Partei,3,Bund,3,0,2,
BGR,Bündnis gegen Rechts,Bündnis,3,NA,2,0,2,
BSE,Bilfinger SE,"Industriedienstleister in Bereichen Petrochemie, Chemie, Pharma sowie Öl und Gas",3,NA,4,0,2,
BSW,Bündnis Sahra Wagenknecht,Partei,3,NA,3,0,2,
BSW Politiker Hamburg,,,,,,,2,
BSWeV,BSW - Für Vernunft und Gerechtigkeit e.V.,Verein BSW,3,NA,5,0,2,
CDU,Christlich Demokratische Union,Partei,3,Bund,3,0,2,
CHL,Chile,anonyme Spende,3,Chile,7,0,2,
CHS,Christopher Schulze,Landesvorsitzender BSW Bremen,2,Bremen,6,0,1,
CK,Christian Kruse,Stellvertretender Landesvorsitzender BSW Hamburg,2,Hamburg,6,0,1,
CL,Christian Leye,Generalsekretär,2,Bund,3,1,1,
CS,Cedric Schiele,Erweiteter Landesvorstand,2,BaWü,6,"1,2",1,
DAT,Dr. Anja Titze,Erweiteter Landesvorstand,1,BaWü,6,0,1,
DB,Deutscher Baugerichtstag e.V.,Verein,3,NA,2,0,2,
DGFB,Deutsche Gesellschaft für Baurecht e.V.,Verein,3,NA,2,0,2,
DHBW,Duale Hochschule Baden-Württemberg,Hochschule,3,Baden-Württemberg,1,0,2,
DL,Die Linke,Partei,3,Bund,3,0,2,
DLK,Dr. Lydia Krüger,wissenschaftliche Mitarbeiterin im Bundestagsbüro Wagenknechts,1,Bund,7,0,1,
DT,Deutscher Tierschutzbund,Tier- und Naturschutzdachorganisation,3,NA,2,0,2,
DVP,DVP Deutscher Verband der Projektmanager in der Bau- und Immobilienwirtschaft e.V.,Verein,3,NA,2,0,2,
EA,Etith Arndt,Sachbearbeiterin im Bundestagsbüro von Wagenknecht,1,Bund,7,0,1,
EGFLC,European Group for Lean Construction,NGO,3,NA,2,0,2,
FB,Friederike Benda,Stellv Parteivorsitzender,1,Bund,3,1,1,
FDM,Fabio de Masi,EU Parlament Abgeordneter,2,EU,6,1,1,
FP,Friedrich Perner,EU Parlament Abgeordneter,2,EU,6,0,1,
FPB,Friedensplenum Bochum,Organisation,3,Bochum,5,0,2,
GLCI,German Lean Construction Institute,Organisation,3,NA,2,0,2,
