from,to,relation,
d,BSW,3,
AAD,AGA,2,
AAD,AM,2,
AAD,AR,2,
AAD,BSW,2,
AAD,BSWeV,3,
AAD,BSWeV,2,
AAD,CL,2,
AAD,DL,6,
AAD,DL,9,
AAD,FB,2,
AAD,HH,2,
AAD,JF,2,
AAD,JH,2,
AAD,JVH,2,
AAD,LS,2,
AAD,OL,2,
AAD,RS,2,
AAD,SH,2,
AAD,SW,2,
AAD,WT,2,
AAD,ZN,6,
AAD,SV,2,
AAD,AU,2,
AAD,ZN,2,
AAD,JT,2,
AAD,RF,2,
AAD,SZ,2,
AAD,TG,2,
AAD,KE,2,
AAD,AK,2,
AAD,FDM,2,
AD,AL,5,
AD,KDM,8,
AD,SL,5,
AFA,UT,2,
AFD,TS,6,
AFD,TS,9,
AG,ZN,5,
AG,AL,5,
AG,SW,2,
AG,JF,2,
AG,OL,2,
AGA,AAD,2,
AGA,BSW,3,
AGA,DL,6,
AGA,DL,9,
AGA,SW,2,
AGA,AK,2,
AGA,AM,2,
AGA,AR,2,
AGA,AU,2,
AGA,CL,2,
AGA,FB,2,
AGA,FDM,2,
AGA,HH,2,
AGA,JF,2,
AGA,JH,2,
AGA,JT,2,
AGA,JVH,2,
AGA,KE,2,
AGA,LS,2,
AGA,OL,2,
AGA,RF,2,
AGA,RS,2,
AGA,SH,2,
AGA,SZ,2,
AGA,TG,2,
AGA,WT,2,
AGA,ZN,2,
AH,AM,2,
AH,AU,2,
AH,BSW,2,
AH,BSW,3,
AH,CL,2,
AH,DL,9,
AH,DL,6,
AH,JT,2,
AH,SW,2,
AH,ZN,2,
AH,JT,2,
AI,AM,2,
AI,BSW,2,
AI,BSW,3,
AI,SPD,3,
AI,SW,2,
AK,JF,2,
AK,AAD,2,
AK,AGA,2,
AK,AM,2,
AK,AR,2,
AK,AU,2,
AK,BSW,2,
AK,BSW,3,
AK,BSWeV,2,
AK,BSWeV,3,
AK,CL,2,
AK,FB,2,
AK,FDM,2,
AK,HH,2,
AK,JH,2,
AK,JT,2,
AK,JVH,2,
AK,KE,2,
AK,LS,2,
AK,OL,2,
AK,RF,2,
AK,RS,2,
AK,SH,2,
AK,SV,2,
AK,SW,2,
AK,SZ,2,
AK,TG,2,
AK,WT,2,
AK,ZN,2,
AKO,NW,6,
AKO,DLA,6,
AKO,DL,6,
AKO,DL,9,
AKO,BSW,6,
AL,BSW,6,
AL,AD,5,
AL,KDM,8,
AL,SL,5,
AL,ZHS,3,
AL,ZHS,2,
AL,ZN,6,
AL,AM,2,
AL,AG,5,
AM,AAD,2,
AM,AI,2,
AM,AR,2,
AM,BSW,2,
AM,BSW,3,
AM,BSWeV,2,
AM,BSWeV,3,
AM,CHS,2,
AM,CL,2,
AM,DL,9,
AM,DL,6,
AM,FB,2,
AM,HO,2,
AM,JT,2,
AM,LS,2,
AM,RS,2,
AM,SH,2,
AM,SW,2,
AM,TR,2,
AM,WT,5,
AM,SR,2,
AM,AH,2,
AM,AI,2,
AM,AU,2,
AM,JR,2,
AM,RK,2,
AM,KE,2,
AM,JF,2,
AM,AGA,2,
AM,AK,2,
AM,AU,2,
AM,FDM,2,
AM,HH,2,
AM,JH,2,
AM,JVH,2,
AM,OL,2,
AM,RF,2,
AM,SV,2,
AM,SZ,2,
AM,TG,2,
AM,ZN,2,
Antifa,RP,3,
AP,VP,7,
AR,AAD,2,
AR,AM,2,
AR,ARL,2,
AR,AU,2,
AR,BSW,2,
AR,BSW,3,
AR,BSWeV,2,
AR,BSWeV,3,
AR,CL,2,
AR,DL,6,
AR,DL,9,
AR,FB,2,
AR,FDM,2,
AR,FPB,3,
AR,HL,2,
AR,JLD,2,
AR,JT,2,
AR,LS,2,
AR,ML,2,
AR,RK,2,
AR,RL,9,
AR,RS,2,
AR,SH,2,
AR,SR,2,
AR,SS,2,
AR,SUB,3,
AR,SW,2,
AR,TG,2,
AR,WT,5,
AR,ZN,2,
AR,JF,2,
AR,AGA,2,
AR,AK,2,
AR,HH,2,
AR,JH,2,
AR,JVH,2,
AR,KE,2,
