id,name,role,sex,region,Funktion
1,Sahra Wagenknecht,Parteivorsitzende,1,Bund,3
2,Amira Mohamed Ali,Parteivorsitzende,1,Bund,3
3,Christian Leye,Generalsekretär,2,Bund,3
4,Shervin Haghsheno,Stellv Parteivorsitzender,2,Bund,3
5,Amid Rabieh,Stellv Parteivorsitzender,2,Bund,3
6,Friederike Benda,Stellv Parteivorsitzende,1,Bund,3
7,Ralph Suikat,Bundesschatzmeister,2,Bund,3
8,Lukas Schön,Bundesgeschäftsführer,2,Bund,3
9,Oskar Lafontaine,Mitglied BSW,2,Bund,1
10,Rosa Luxemburg Stiftung,Institution,NA,NA,1
11,Kommunistische Plattform,Institution,NA,NA,1
12,IG Metall,Organisation,NA,NA,2
13,Deutscher Tierschutzbund,Organisation,NA,NA,2
14,Bochumer Bündnis gegen Rechts,Organisation,NA,NA,2
15,Verdi,Organisation,NA,NA,2
16,Friedensplenum Bochum,NGO,NA,NA,5
17,Bündnis Sahra Wagenknecht,Partei,NA,NA,3
18,Bilfinger SE,Wirtschaftliches Unternehmen,NA,NA,4
19,Haghsheno Investment & Consulting GmbH,Wirtschaftliches Unternehmen,NA,NA,4
20,Yukon Projects GmbH,Wirtschaftliches Unternehmen,NA,NA,4
21,Modugen GmbH,Wirtschaftliches Unternehmen,NA,NA,4
22,Valoon GmbH,Wirtschaftliches Unternehmen,NA,NA,4
23,German Lean Construction Institute,Organisation,NA,NA,2
24,IPA Zentrum Kompetenzzentrum für Integrierte Projektabwicklung,Organisation,NA,NA,2
25,Bündnis Versammlungsgesetz stoppen Grundrechte erhalten,NGO,NA,NA,5
26,Linke Kreisvorstand Bochum,Institution,NA,NA,1
27,Linke Geschäftsführer im Stadtrat Bochum,Institution,NA,NA,1
28,Linke Landesvorstand NRW,Institution,NA,NA,1
29,AStA Uni Bielefeld,Organisation,NA,NA,2
30,Senat Uni Bielefeld,Organisation,NA,NA,2
31,Bündnis gegen Rechts,Organisation,NA,NA,2
32,Gewerkschafterinnen für Frieden und Solidarität,NGO,NA,NA,5
